Arabic Name,English Name
جامعة APU,Asia Pacific University of Technology & Innovation
الجامعة الإسلامية العالمية,International Islamic University Malaysia
جامعة مالايا,University of Malaya
جامعة الملتيميديا / MMU,Multimedia University
جامعة تايلور / Taylor,Taylor's University
جامعة UCSI,UCSI University
جامعة تناجا / Uniten,Universiti Tenaga Nasional
جامعة MSU,Management and Science University
جامعة City,City University Malaysia
جامعة سايبرجايا / Cyberjaya,University of Cyberjaya
جامعة سيجي / Segi,SEGi University
جامعة ماهسا / MAHSA,MAHSA University
جامعة ليمكوكوينج / Limkokwing,Limkokwing University of Creative Technology
جامعة كوالالمبور / UniKL,Universiti Kuala Lumpur
جامعة بتروناس / UTP,Universiti Teknologi PETRONAS
جامعة IUKL,Infrastructure University Kuala Lumpur
جامعة لينكولن / Lincoln,Lincoln University College
جامعة INTI,INTI International University & Colleges
جامعة صنواي / Sunway,Sunway University
جامعة Help,HELP University
جامعة Utar,Universiti Tunku Abdul Rahman
جامعة UniMy,University Malaysia of Computer Science & Engineering
جامعة IMU,International Medical University
جامعة UTM,Universiti Teknologi Malaysia
جامعة بوترا / UPM,Universiti Putra Malaysia
جامعة ملاكا / Utem,Universiti Teknikal Malaysia Melaka
جامعة العلوم / USM,Universiti Sains Malaysia
الجامعة الوطنية / UKM,Universiti Kebangsaan Malaysia
جامعة بيرليس / UNIMAP,Universiti Malaysia Perlis
جامعة ساراواك / UniMas,Universiti Malaysia Sarawak
جامعة مارا / UITM,Universiti Teknologi MARA
جامعة اوتارا / UUM,Universiti Utara Malaysia
جامعة UTHM,Universiti Tun Hussein Onn Malaysia
جامعة جوماتيكا ماليزيا,Universiti Geomatika Malaysia 
